,name,u,v
0,West 47th Street,256180896,418460342
1,West 47th Street,256180896,418456769
2,West 47th Street,256180897,418461786
3,South Christiana Avenue,256180897,261272709
4,West 47th Street,256180897,4606276640
5,South Brighton Place,256180993,261339432
6,South Archer Avenue,256180993,418468475
7,South Archer Avenue,256180993,418468129
8,West Pershing Road,256180994,261193994
9,South Archer Avenue,256180994,418468961
10,West Pershing Road,256180994,261193998
11,South Archer Avenue,256180994,418468475
12,South Kedzie Avenue,261092783,261107943
13,,261092785,261092783
14,,261092787,261092785
15,,261107943,261107945
16,South Kedzie Avenue,261107943,261092783
17,South Kedzie Avenue,261107943,261132012
18,,261107945,261110959
19,,261110959,5087655868
20,,261110959,705744054
21,South California Avenue,261110961,5087655869
22,South St Louis Avenue,261116689,261116691
23,South St Louis Avenue,261116689,418455856
24,West 47th Place,261116689,261329716
25,West 47th Place,261116689,261302316
26,South St Louis Avenue,261116691,261116689
27,West 48th Place,261116691,261249391
28,South St Louis Avenue,261116691,261116692
29,West 48th Place,261116691,261249385
30,South St Louis Avenue,261116692,261116691
31,South Saint Louis Avenue,261116699,2203298433
32,South Saint Louis Avenue,261116699,261116700
33,West 38th Street,261116699,261169865
34,West 38th Street,261116699,3270264066
35,West 38th Place,261116700,261169866
36,West 38th Place,261116700,261335645
37,South Saint Louis Avenue,261116700,261116701
38,South Saint Louis Avenue,261116700,261116699
39,West Pershing Road,261116701,261169867
40,West Pershing Road,261116701,3200955979
41,South Saint Louis Avenue,261116701,261116700
42,South Saint Louis Avenue,261116784,261116785
43,West 43rd Street,261116784,261198056
44,West 43rd Street,261116784,261184375
45,South Saint Louis Avenue,261116785,261116786
46,West 44th Street,261116785,261198057
47,West 44th Street,261116785,261184376
48,West 45th Street,261116786,261198058
49,West 45th Street,261116786,261184377
50,South Saint Louis Avenue,261116786,418462352
51,"['West 48th Place', 'South Whipple Street']",261131950,418460744
52,South Kedzie Avenue,261131950,261131951
53,West 48th Place,261131951,261249385
54,South Kedzie Avenue,261131951,261131953
55,South Kedzie Avenue,261131951,261131950
56,West 47th Place,261131953,4606276639
57,South Kedzie Avenue,261131953,418456252
58,South Kedzie Avenue,261131953,261131951
59,South Kedzie Avenue,261131955,261131956
60,South Kedzie Avenue,261131955,418456252
61,West 46th Street,261131955,261231189
62,South Kedzie Avenue,261131956,261131958
63,West 45th Street,261131956,261199215
64,South Kedzie Avenue,261131956,261131955
65,South Kedzie Avenue,261131958,261131956
66,West 45th Street,261131958,261223152
67,South Kedzie Avenue,261131958,261131959
68,South Kedzie Avenue,261131959,418465382
69,South Kedzie Avenue,261131959,261131958
70,West 44th Street,261131959,261231187
71,South Kedzie Avenue,261131962,261131963
72,South Kedzie Avenue,261131962,418465382
73,West 43rd Street,261131962,261199259
74,West 43rd Street,261131962,418465614
75,West 42nd Place,261131963,261284673
76,South Kedzie Avenue,261131963,261131964
77,South Kedzie Avenue,261131963,261131962
78,South Kedzie Avenue,261131964,261131967
79,South Kedzie Avenue,261131964,261131963
80,West 41st Place,261131967,261167118
81,South Kedzie Avenue,261131967,261131968
82,South Kedzie Avenue,261131967,261131964
83,West 41st Street,261131968,261297091
84,South Kedzie Avenue,261131968,261131969
85,South Kedzie Avenue,261131968,261131967
86,South Kedzie Avenue,261131969,261131980
87,South Kedzie Avenue,261131969,261131968
88,West 40th Street,261131980,261339428
89,South Kedzie Avenue,261131980,261131987
90,South Kedzie Avenue,261131980,261131969
