,y,x
256180896,41.8082693,-87.69543
256180897,41.8080944,-87.7075533
256180993,41.8213226,-87.6924869
256180994,41.8228773,-87.6899494
261092783,41.829744,-87.7046132
261092785,41.8308705,-87.7005223
261092787,41.8316931,-87.6979371
261107943,41.8287722,-87.7045872
261107945,41.8298285,-87.7016546
261110959,41.8305739,-87.6993318
261110961,41.8314712,-87.6948661
261116689,41.8067309,-87.7112858
261116691,41.8056064,-87.7112538
261116692,41.804605,-87.7112188
261116699,41.8243055,-87.7117957
261116700,41.8234018,-87.7117721
261116701,41.8224984,-87.7117486
261116784,41.8153544,-87.7114213
261116785,41.8135292,-87.7113525
261116786,41.8116922,-87.7112834
261131950,41.8051462,-87.703891
261131951,41.8056788,-87.7039077
261131953,41.8068272,-87.7039436
261131955,41.8099545,-87.7040477
261131956,41.8116947,-87.7041102
261131958,41.8117531,-87.7041127
261131959,41.8135884,-87.7041922
261131962,41.8154283,-87.7042685
261131963,41.8163,-87.7042981
261131964,41.8172058,-87.7043288
261131967,41.818095,-87.704359
261131968,41.8189978,-87.7043896
261131969,41.8199071,-87.7044216
261131980,41.8207949,-87.7044564
261131987,41.8216911,-87.7044916
261131993,41.8225989,-87.704405
261132000,41.8235094,-87.7044226
261132001,41.8244171,-87.7044402
261132002,41.8253231,-87.7044713
261132006,41.8271688,-87.7045365
261132012,41.82809,-87.704569
261135276,41.8064542,-87.6941462
261135279,41.8065494,-87.6904794
261135280,41.8065644,-87.6892723
261135281,41.8065796,-87.6880502
261135282,41.8065946,-87.6868394
261135283,41.8066249,-87.6843955
261142044,41.8301078,-87.6948182
261142045,41.8291815,-87.6947947
261142046,41.8282724,-87.6947717
261142047,41.827354,-87.6947481
261142050,41.825534,-87.6946923
261142051,41.8246156,-87.6946708
261142052,41.8237058,-87.69465
261142053,41.822793,-87.6946289
261142054,41.8218891,-87.694608
261142055,41.8210323,-87.6945881
261142056,41.8201318,-87.6945673
261142058,41.8192949,-87.694542
261142059,41.8173666,-87.6944823
261142060,41.8155536,-87.6944261
261142061,41.8137437,-87.6943688
261142062,41.8119221,-87.6943107
261142063,41.8100905,-87.6942524
261142065,41.8070521,-87.6941621
261142068,41.8055972,-87.6941234
261148326,41.8093541,-87.6844673
261148327,41.8092789,-87.6893494
261154071,41.8252819,-87.7069205
261154072,41.8252447,-87.7093829
261154073,41.8252234,-87.7106309
261154075,41.8253733,-87.7020305
261154076,41.8252991,-87.7056416
261154090,41.8256241,-87.6898127
261154091,41.8255804,-87.6922439
261162575,41.8219552,-87.6908328
261162576,41.8211387,-87.6908143
261162577,41.8196048,-87.6907741
261162578,41.8174215,-87.6908153
261162579,41.8156089,-87.690751
261162580,41.8137947,-87.6906877
261162581,41.8119816,-87.6906422
261162582,41.8101359,-87.6905873
261163820,41.8172794,-87.6994091
261163821,41.8172413,-87.7018573
261163822,41.8175159,-87.6840952
261163824,41.8175135,-87.684679
261163825,41.8174945,-87.6859456
261163826,41.8174766,-87.6871435
261163827,41.8174583,-87.6883647
261163828,41.81744,-87.6895807
261163829,41.8174033,-87.6920349
261163830,41.817385,-87.6932549
261163831,41.8173473,-87.6957199
261163832,41.8173285,-87.6969261
261163833,41.817309,-87.6981735
261163988,41.8155167,-87.6968754
261163989,41.8136949,-87.6968154
261163990,41.8118776,-87.6967706
261163991,41.8100659,-87.6967079
261164011,41.8300195,-87.6972716
261164012,41.8282311,-87.6972255
261164013,41.827307,-87.6972017
261164014,41.8245667,-87.6971117
261164015,41.8236569,-87.6970807
261164016,41.8227398,-87.69709
261164017,41.8218486,-87.697099
261164018,41.8209648,-87.6970715
261164019,41.8200654,-87.6970409
261167116,41.8181857,-87.6994448
261167118,41.8181391,-87.7018949
261169865,41.8243421,-87.7093568
261169866,41.8234376,-87.7093305
261169867,41.8225318,-87.7093042
261169909,41.8098847,-87.7086776
261170061,41.8153836,-87.7091679
261170062,41.8135582,-87.7090962
261170064,41.8117151,-87.7090241
261170347,41.8302205,-87.6887144
261170349,41.8301979,-87.6899423
261170350,41.8301529,-87.6923782
